uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;1995;sum;826253.7399999999
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;1996;count;1.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;1996;sum;35729.99
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;1997;count;1.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;1997;sum;120572.1
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;1999;count;1.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;1999;sum;73080.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2000;count;7.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2000;sum;394391.15
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2001;count;6.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2001;sum;189041.28
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2002;count;4.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2002;sum;425655.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2003;count;4.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2003;sum;261659.66
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2004;count;2.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2004;sum;224420.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2005;count;3.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2005;sum;734400.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2006;count;7.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2006;sum;611492.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2007;count;5.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2007;sum;1277708.03
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2008;count;5.0
AC;MICRO;AGROPECUÁRIA;BNDES FINAME;2008;sum;443760.0
