"tipo";"nome_agente_financeiro";"2020";"2019";"2018";"2017";"2016";"2015";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";"1997";"1996";"1995"
"Agente Privado";"BARCLAYS BM ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,0";"1,0";"1,0";"1,0";"0,0";"5,0"
"Agente Privado";"BBC SVF     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,0";"7,0";"12,0";"14,0"
"Agente Privado";"BBM BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"37,0";"16,0";"17,0";"21,0";"2,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BCN BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"23,0";"18,0";"274,0";"331,0";"1003,0";"631,0";"1002,0";"687,0";"545,0";"1012,0"
"Agente Privado";"BCO MAIS    ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"11,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BCSUL BM    ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"10,0";"6,0";"9,0";"7,0";"20,0";"4,0";"0,0"
"Agente Privado";"BCV BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,0";"5,0";"12,0";"21,0";"7,0";"4,0";"1,0";"1,0";"0,0";"1,0";"0,0"
"Agente Privado";"BEA BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,0";"14,0";"23,0";"20,0";"18,0";"23,0"
"Agente Privado";"BEC BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"0,0";"2,0";"22,0";"106,0";"128,0"
"Agente Privado";"BEG BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"1,0";"0,0";"1,0";"73,0";"57,0";"0,0";"0,0"
"Agente Privado";"BEMGE HDG   ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"4,0";"0,0";"0,0"
"Agente Privado";"BFC ADM     ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"4,0"
"Agente Privado";"BI BM       ";"0,0";"0,0";"2,0";"3,0";"7,0";"25,0";"8,0";"42,0";"19,0";"30,0";"71,0";"51,0";"51,0";"36,0";"22,0";"41,0";"29,0";"53,0";"112,0";"393,0";"257,0";"5,0";"1,0";"7,0";"19,0";"0,0"
"Agente Privado";"BMC BI      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"83,0";"27,0";"11,0";"0,0";"0,0";"0,0"
"Agente Privado";"BMC LEASING ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"12,0";"11,0";"15,0";"4,0";"1,0";"3,0";"9,0";"0,0";"0,0";"0,0"
"Agente Privado";"BMD         ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"0,0";"0,0";"0,0"
"Agente Privado";"BMG BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"160,0";"79,0";"287,0";"328,0";"161,0";"157,0";"205,0";"194,0";"63,0";"44,0";"35,0";"12,0";"267,0";"241,0";"143,0";"328,0"
"Agente Privado";"BMG LS      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"31,0";"10,0";"72,0";"63,0";"38,0";"30,0";"19,0";"34,0";"12,0";"23,0";"12,0";"11,0";"153,0";"0,0";"0,0";"0,0"
"Agente Privado";"BNP BRASIL  ";"0,0";"0,0";"0,0";"4,0";"2,0";"4,0";"2,0";"2,0";"1,0";"0,0";"0,0";"1,0";"1,0";"7,0";"7,0";"5,0";"1,0";"0,0";"0,0";"1,0";"2,0";"1,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BOFA BRASIL ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"40,0";"94,0";"11,0";"25,0";"336,0";"793,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BOFA LIBBM  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,0";"0,0";"0,0";"0,0"
"Agente Privado";"BONCRED FI  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"4,0";"6,0";"11,0";"10,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BONCRED LS  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"13,0";"1,0";"1,0";"17,0";"24,0";"12,0";"37,0";"39,0";"14,0";"0,0";"0,0";"0,0"
"Agente Privado";"BPN BC      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"6,0";"29,0";"26,0";"18,0";"15,0";"4,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BRADESCO BBI";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,0";"22,0";"32,0"
"Agente Privado";"BRADESCO BM ";"63800,0";"65340,0";"78250,0";"88889,0";"102758,0";"134361,0";"171969,0";"191979,0";"204682,0";"222360,0";"147641,0";"79998,0";"50212,0";"32720,0";"23038,0";"18486,0";"17100,0";"15859,0";"15400,0";"11490,0";"8818,0";"5765,0";"7208,0";"7062,0";"4781,0";"8061,0"
"Agente Privado";"BRADESCO CAR";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"8,0";"16,0";"24,0";"22,0";"3,0";"0,0";"0,0"
"Agente Privado";"BRADESCO FI ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"26,0";"471,0";"194,0";"126,0";"49,0";"28,0";"506,0";"684,0";"332,0";"172,0";"77,0"
"Agente Privado";"BRADESCO LS ";"0,0";"0,0";"0,0";"0,0";"1,0";"2,0";"69,0";"166,0";"136,0";"545,0";"357,0";"344,0";"881,0";"747,0";"354,0";"307,0";"224,0";"687,0";"855,0";"615,0";"303,0";"278,0";"340,0";"0,0";"0,0";"0,0"
"Agente Privado";"BRJ BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,0";"3,0";"5,0";"0,0";"0,0"
"Agente Privado";"BRKB DTVM   ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,0";"0,0";"2,0";"0,0";"0,0";"0,0";"4,0";"3,0";"8,0";"10,0";"8,0";"2,0";"3,0";"0,0";"0,0"
"Agente Privado";"BRP BM      ";"0,0";"0,0";"1,0";"29,0";"36,0";"24,0";"14,0";"6,0";"13,0";"53,0";"50,0";"43,0";"76,0";"56,0";"45,0";"6,0";"34,0";"75,0";"82,0";"69,0";"71,0";"51,0";"35,0";"32,0";"0,0";"0,0"
"Agente Privado";"BS2 BANCO   ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"62,0";"21,0";"21,0";"32,0";"22,0";"47,0";"40,0";"158,0";"48,0";"16,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BTG PAC CTVM";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"97,0";"90,0";"128,0";"0,0"
"Agente Privado";"BTG PACTUAL ";"92,0";"0,0";"0,0";"0,0";"1,0";"7,0";"6,0";"4,0";"4,0";"0,0";"14,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,0";"1,0";"4,0";"1,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BV LS       ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,0";"2,0";"0,0";"30,0";"19,0";"15,0";"30,0";"68,0";"30,0";"0,0";"1,0";"1,0";"3,0";"0,0";"0,0";"1,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"BVA         ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"5,0";"23,0";"243,0";"282,0";"165,0";"190,0";"156,0";"153,0";"78,0";"23,0";"0,0"
"Agente Privado";"BVR BM      ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"1,0";"0,0";"0,0";"0,0"
"Agente Privado";"CATERPILL BM";"19,0";"92,0";"304,0";"540,0";"817,0";"2263,0";"3378,0";"3050,0";"2945,0";"3211,0";"2940,0";"1579,0";"1215,0";"1069,0";"888,0";"866,0";"577,0";"446,0";"662,0";"404,0";"86,0";"51,0";"0,0";"0,0";"0,0";"0,0"
"Agente Privado";"CCB BRASIL  ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"30,0";"103,0";"272,0";"168,0";"60,0";"12,0";"13,0";"78,0";"203,0";"45,0";"32,0"
