"ano";"mes";"bndes_finem";"bndes_exim";"bndes_nao_reembolsavel";"bndes_automatico";"bndes_finame";"cartao_bndes"
2005;5;"55199,5194795";"240243,977707";"0,0";"92709,2042991005";"380887,9713095";"1242,6320666"
2005;6;"34264,6584054";"660465,837903";"0,0";"203477,304612091";"508299,476287399";"1531,3909072"
2005;7;"90831,7175934";"168119,7854972";"0,0";"150318,726055697";"418072,161819899";"1935,4008567"
2005;8;"101694,0481798";"206367,2851186";"0,0";"119852,9471171";"462972,2911198";"2548,1061677"
2005;9;"50249,1467011";"174911,8867642";"0,0";"95959,8403598002";"356203,5704321";"3801,4763516"
2005;10;"80938,220949";"178156,5583733";"0,0";"96171,0076650002";"386247,387311";"4822,7940852"
2005;11;"111823,8516462";"502209,3992207";"0,0";"139204,2722003";"361633,6004703";"5592,6471115"
2005;12;"112745,8910256";"761648,0960804";"0,0";"198212,607185101";"473300,188683702";"5192,0870963"
2006;1;"34177,8371853";"91489,9318448";"0,0";"186336,266900399";"483652,314072399";"5380,9859023"
2006;2;"37560,3880394";"165093,7726339";"0,0";"134118,451927";"285375,781817799";"6061,80779710001"
2006;3;"59710,4366878";"75294,4908451";"0,0";"157858,8404133";"454433,866519";"6622,19483630001"
2006;4;"61998,1522023";"205316,8503133";"0,0";"77741,7936362";"404619,5273541";"7074,63975249999"
2006;5;"74342,4836102";"253870,6930878";"0,0";"126796,3306877";"476589,8594063";"7169,82872620001"
2006;6;"166301,5234056";"584144,2046356";"0,0";"119277,8216601";"455609,2780278";"7567,67410269999"
2006;7;"48185,403304";"158572,9410145";"0,0";"126214,419200299";"492717,584015099";"7256,83997140001"
2006;8;"63202,9545979";"754125,9502705";"0,0";"83254,7405617001";"521554,4438481";"8341,3156832"
2006;9;"109810,4638438";"299360,0166481";"0,0";"88025,9668986998";"499662,005391401";"10077,9516229"
2006;10;"90688,7975839";"208706,8782325";"0,0";"118424,9390639";"551524,480387201";"10856,8641242"
2006;11;"283810,5589754";"629628,3683405";"0,0";"165198,2530364";"604499,9533156";"13202,4858806"
